timestamps population node_ids
1504.992 v1 226
1513.394 v1 226
1525.553 v1 226
1545.298 v1 226
1571.368 v1 226
1588.689 v1 226
138.41 v1 226
890.811 v1 225
99.238 v1 226
2996.258 v1 225
2464.178 v1 225
2475.978 v1 225
2541.173 v1 225
2566.661 v1 225
2579.133 v1 225
2601.669 v1 225
2613.591 v1 225
2628.371 v1 225
2640.579 v1 225
2650.705 v1 225
2682.132 v1 225
2707.717 v1 225
2722.005 v1 225
2731.387 v1 225
2742.999 v1 225
2758.063 v1 225
2775.745 v1 225
2786.541 v1 225
2853.974 v1 225
2868.118 v1 225
2889.178 v1 225
2908.192 v1 225
2924.243 v1 225
2950.726 v1 225
2959.314 v1 225
2967.506 v1 225
2980.031 v1 225
63.51 v1 226
873.286 v1 225
860.567 v1 225
845.384 v1 225
1917.954 v1 224
1954.646 v1 224
1977.901 v1 224
1989.209 v1 224
2001.638 v1 224
2011.801 v1 224
2046.445 v1 224
2077.265 v1 224
2088.75 v1 224
2110.685 v1 224
2122.823 v1 224
2137.132 v1 224
2150.337 v1 224
2176.883 v1 224
2200.5 v1 224
2214.851 v1 224
2224.298 v1 224
2234.672 v1 224
2247.851 v1 224
2267.543 v1 224
2286.112 v1 224
2317.134 v1 224
2329.146 v1 224
2344.071 v1 224
2360.974 v1 224
2435.333 v1 224
2446.91 v1 224
1890.724 v1 224
2459.783 v1 224
1870.043 v1 224
1843.806 v1 224
875.851 v1 224
908.394 v1 224
955.38 v1 224
966.506 v1 224
979.7 v1 224
1504.099 v1 224
1511.692 v1 224
1522.283 v1 224
1536.303 v1 224
1556.144 v1 224
1570.504 v1 224
1582.636 v1 224
1599.45 v1 224
1612.73 v1 224
1623.419 v1 224
1637.806 v1 224
1657.478 v1 224
1672.54 v1 224
1684.629 v1 224
1697.892 v1 224
1708.01 v1 224
1723.819 v1 224
1733.494 v1 224
1754.648 v1 224
1766.677 v1 224
1784.972 v1 224
1810.702 v1 224
1857.681 v1 224
710.868 v1 222
2474.902 v1 224
2554.262 v1 224
257.304 v1 225
273.866 v1 225
326.87 v1 225
352.224 v1 225
375.456 v1 225
494.558 v1 225
515.787 v1 225
527.406 v1 225
538.123 v1 225
548.619 v1 225
566.865 v1 225
583.623 v1 225
597.589 v1 225
614.783 v1 225
626.299 v1 225
635.632 v1 225
645.466 v1 225
659.31 v1 225
672.217 v1 225
684.43 v1 225
699.704 v1 225
710.685 v1 225
723.993 v1 225
747.175 v1 225
769.672 v1 225
786.431 v1 225
828.96 v1 225
238.969 v1 225
